Tree Location ,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920
KL-15,1.6,2.041,1.413,1.603,1.7,1.373,1.741,2.431,2.146,2.897,2.165,3.202,2.683,2.819,2.136,1.775,0.865,0.613,0.941,0.783,0.634,0.683,0.616,0.554,0.529,0.649,0.498,0.719,0.58,0.845,0.836,0.929,1.499,1.954,1.521,1.021,1.548,1.226,0.74,0.961,1.297,1.109,1.106,1.119,1.086,1.348,1.497,1.415,1.116,0.434,0.861,1.211,0.956,1.868,3.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-19,0.822,1.077,1.273,0.949,1.171,1.013,0.951,0.793,1.415,1.15,1.453,1.245,1.491,1.031,1.187,0.926,0.706,0.907,0.981,0.823,0.611,0.518,0.611,0.571,0.729,0.475,0.834,0.739,1.269,1.311,1.289,1.881,2.535,1.91,2.783,1.733,1.035,1.511,2.082,2.207,2.187,2.187,2.019,2.003,2.572,2.231,2.167,1.659,1.904,2.431,1.776,2.156,2.304,2.2,2.018,2.008,3.182,3.079,,,,,1.766,1.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-21,1.279,1.078,0.464,0.804,1.438,1.659,1.226,2.082,2.526,3.192,2.378,2.61,2.219,3.086,2.156,2.357,2.271,2.589,2.843,2.747,2.644,2.618,2.064,1.628,1.374,1.416,0.921,1.046,1.343,1.913,2.009,2.347,2.504,2.535,2.189,2.1,2.189,1.989,1.848,2.063,2.443,1.977,1.638,1.531,1.482,1.924,2.048,1.651,1.734,1.499,1.542,1.581,1.502,1.435,1.919,1.8,1.616,1.84,2.145,1.429,1.461,1.531,2.366,2.701,3.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-27,0.134,0.16,0.142,0.204,0.19,0.247,0.239,0.248,0.386,0.549,0.654,0.281,0.429,0.331,0.408,0.366,0.245,0.205,0.168,0.126,0.113,0.184,0.16,0.155,0.133,0.119,0.183,0.26,0.348,0.515,0.495,0.517,0.663,0.687,0.602,0.854,0.813,0.758,0.793,1.152,1.467,0.979,0.924,0.935,2.162,2.997,3.579,2.994,2.313,1.682,1.621,2.92,2.626,2.831,2.583,2.232,2.132,2.307,2.622,2.181,1.709,2.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-37,0.876,0.919,0.636,0.639,0.842,1.114,1.158,1.11,1.004,1.246,2.386,3.552,3.641,1.269,1.724,1.436,1.82,1.85,1.595,2.023,2.486,3.177,2.925,2.616,2.331,1.603,1.032,0.937,1.011,1.578,1.534,1.54,2.267,1.81,1.927,2.018,2.183,2.249,1.569,1.741,2.205,2.014,1.628,1.943,2.207,2.618,3.121,2.476,2.456,2.22,1.748,1.949,2.011,1.837,1.96,2.532,3.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-A5,1.181,0.94,0.675,0.77,0.76,0.886,1.025,1.711,1.565,1.403,1.079,1.702,1.66,1.869,1.267,1.066,0.888,0.96,1.122,1.152,0.983,1.067,1.078,0.907,0.696,1.085,0.706,0.992,0.803,1.11,0.972,0.992,1.266,1.377,1.253,1.054,1.442,1.647,1.355,1.754,1.548,1.152,1.403,1.314,1.823,2.035,1.896,1.678,1.371,1.066,1.427,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-C7,0.701,0.905,0.788,0.718,1.021,1.41,2.034,1.996,1.341,1.539,1.52,1.655,1.24,1.657,2.197,2.213,1.601,1.462,1.678,1.875,1.836,1.352,1.346,1.198,1.182,1.253,1.162,1.888,1.462,1.707,1.634,2.204,2.613,2.635,2.048,1.722,2.166,1.883,1.395,1.617,1.985,1.868,1.679,1.894,1.822,1.791,1.756,1.327,1.138,0.818,0.942,0.742,0.735,1.02,1.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-C9,1.062,1.26,0.835,0.888,1.149,1.372,1.483,1.504,1.269,1.965,1.645,2.013,1.541,2.131,1.827,2.123,1.925,1.324,1.514,1.641,1.69,1.641,1.408,1.337,1.16,1.373,1.224,1.734,1.932,2.287,2.193,2.255,2.58,3.035,2.729,2.213,2.603,2.489,2.299,2.396,2.556,2.518,2.414,2.615,2.536,2.623,2.423,2.847,3.063,3.856,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-D3,0.462,0.633,0.466,0.815,0.682,0.767,0.902,0.998,1.014,1.155,1.106,1.615,1.011,1.532,1.094,2.365,1.587,1.965,1.353,1.494,1.498,1.39,1.306,1.16,1.346,1.455,2.26,1.629,1.584,2.448,1.837,2.238,3.146,3.7,3.187,2.465,3.187,3.023,1.521,2.808,3.82,2.621,3.655,3.377,3.335,3.362,4.329,3.465,3.483,2.452,3.015,3.459,2.488,3.141,3.92,3.339,2.867,2.869,2.854,2.092,2.874,3.921,4.214,3.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-D5,1.467,1.235,1.089,1.237,1.205,1.533,1.257,1.374,1.406,1.532,1.616,1.807,1.268,1.512,1.417,1.786,1.364,1.11,1.353,1.596,1.395,1.628,1.427,1.364,1.226,1.364,1.51,1.902,2.208,2.112,1.96,2.034,2.045,2.068,1.961,1.998,3.579,0.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-E1,0.489,0.537,0.971,0.622,0.728,1.033,1.076,1.294,1.694,1.595,1.692,1.39,1.779,1.049,1.74,1.435,1.659,1.445,1.555,1.713,1.963,1.658,1.54,1.704,1.436,1.22,1.135,0.942,1.531,1.491,1.755,2.036,2.036,1.834,1.75,1.667,1.89,2.005,2.147,1.822,1.751,2.139,1.84,2.371,2.357,2.736,2.128,2.379,2.222,2.083,2.022,1.963,2.101,2.47,3.522,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-E11,0.811,0.793,0.676,0.952,0.665,0.707,0.909,0.912,0.958,1.034,0.994,1.603,1.229,1.427,1.152,1.29,1.057,0.867,0.824,0.434,0.465,0.698,0.676,0.645,0.486,0.581,0.444,0.624,0.623,0.823,0.897,0.93,1.099,1.246,1.169,1.009,1.043,1.077,0.717,0.759,0.887,1.033,0.919,1.183,1.245,1.424,1.773,1.7,1.603,1.118,1.477,2.052,2.407,2.557,2.805,2.637,2.559,2.104,2.334,1.891,2.472,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-F3,2.365,2.26,1.481,1.395,1.796,1.945,2.112,2.22,2.304,2.875,2.03,2.747,1.88,2.705,1.861,2.135,1.987,1.818,2.492,2.617,1.923,1.564,1.543,1.501,1.437,1.606,1.351,2.176,2.218,3.167,2.851,3.065,4.243,4.624,3.572,3.802,4.141,4.121,3.023,3.759,4.71,4.25,4.333,4.186,4.186,4.334,4.461,4.269,4.351,4.431,3.962,3.911,5.082,5.237,6.784,5.314,4.726,5.258,7.701,3.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-F9,1.348,1.365,1.185,1.205,1.109,0.941,0.779,0.574,0.57,0.738,0.994,0.201,1.242,1.735,1.398,1.434,0.772,1.173,1.416,1.733,1.3,1.532,1.552,1.269,1.332,1.625,1.119,1.553,1.691,2.04,2.061,2.685,2.928,2.8,2.757,2.865,3.224,3.118,2.632,2.939,2.905,2.6,2.79,3.044,2.809,2.136,2.336,2.388,2.517,2.049,2.008,2.178,2.596,2.381,2.896,2.894,2.001,2.193,2.394,1.993,2.521,2.737,4.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-G5,1.585,1.849,0.991,1.079,1.368,1.866,1.896,2.237,1.973,2.424,2.2,2.523,1.7,2.954,1.701,2.485,1.996,1.786,1.729,2.121,1.719,2.06,2.323,1.929,2.023,2.383,2.091,2.43,2.347,2.87,2.365,2.619,3.128,3.898,3.944,3.826,4.203,3.515,2.917,4.42,4.826,4.267,4.593,4.503,3.789,3.618,4.48,4.211,2.877,2.094,3.104,2.876,2.795,4.475,3.933,3.655,4.15,3.18,3.529,2.612,2.874,3.378,2.668,2.928,3.585,4.103,2.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-G11,1.423,2.015,1.103,1.474,1.718,1.815,2.264,2.163,1.602,2.203,1.669,2.212,1.725,2.409,1.921,2.219,1.904,1.541,2.198,2.326,2.347,1.924,1.649,1.755,1.354,1.691,1.563,1.965,2.219,2.538,2.242,2.281,2.643,3.187,3.004,2.638,2.855,3.367,2.253,2.62,3.678,3.215,3.59,3.366,3.125,3.023,3.16,2.972,3.064,2.903,2.92,2.767,2.558,3.092,3.462,2.968,3.214,3.481,5.228,5.373,2.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-H1,0.728,0.919,0.412,0.592,0.613,0.898,0.898,1.087,0.897,1.32,0.897,1.141,0.685,1.063,0.73,1.131,1.067,1.025,1.141,1.068,0.856,1.089,1.089,0.951,0.75,1.131,0.708,1.364,1.299,1.953,1.656,1.509,1.882,1.544,1.463,1.388,1.567,1.292,0.999,1.229,1.628,1.521,1.714,1.82,1.274,1.66,2.048,1.444,1.514,1.29,1.721,2.01,1.716,2.326,2.253,2.343,2.45,2.011,2.768,1.888,2.197,1.818,1.637,1.809,2.423,2.621,2.462,2.462,2.327,2.284,2.614,2.448,3.18,1.361,2.273,0.762,0.415,0.977,1.184,,,,,,,,,,,,,,,,,,,,,,,,
KL-I9,1.834,2.1,1.312,1.391,1.562,1.729,2.11,2.324,2.807,3.901,2.937,3.848,3.445,3.357,2.891,2.847,2.49,2.702,3.404,4.067,4.045,3.693,3.212,2.466,2.785,2.784,2.429,2.931,2.948,3.775,2.766,2.864,3.81,4.652,3.768,3.595,3.953,3.648,2.708,3.168,3.523,4.652,3.621,3.699,4.587,5.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-J1,2.581,1.572,1.848,1.623,1.778,1.242,1.247,1.273,1.263,1.494,1.307,1.098,1.142,0.992,1.086,0.95,0.813,0.803,0.994,1.173,0.824,0.975,1.382,1.1,0.885,0.866,0.389,0.52,0.391,0.359,0.687,0.382,0.547,0.411,0.644,0.676,0.66,0.352,0.569,0.493,0.371,0.646,0.599,0.799,0.536,0.515,0.884,1.192,0.513,0.973,0.469,1.373,0.711,0.247,0.4,0.431,0.494,0.389,0.325,0.356,0.377,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL-J11,1.13,1.163,0.854,1.11,1.057,1.064,1.356,1.594,1.923,1.448,1.487,1.111,1.742,0.995,1.744,0.982,1.276,1.353,1.508,2.565,3.021,2.381,2.578,2.332,2.217,2.008,2.15,1.859,2.157,2.384,3.521,3.256,2.207,2.593,3.197,2.813,2.11,2.776,2.677,1.686,1.948,2.379,1.968,1.834,2.032,1.606,2.4,1.999,2.26,2.307,2.007,2.341,2.138,1.768,1.625,1.222,1.809,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-A9,1.041,0.905,0.707,0.791,0.843,1,0.844,0.927,0.925,1.284,0.81,1.15,0.927,0.864,0.8,0.781,0.928,0.801,0.979,0.98,0.999,0.852,0.736,0.746,0.789,0.808,0.684,1.02,0.946,1.038,0.817,0.774,1.108,0.754,0.722,0.618,0.618,0.587,0.587,0.576,0.576,0.691,0.682,0.839,1.081,0.902,0.903,0.84,0.902,0.766,0.829,0.987,0.704,0.988,1.152,1.122,0.828,0.985,1.295,0.94,0.656,0.866,0.967,1.031,1.074,0.548,0.714,0.726,0.831,0.799,0.916,1.056,1.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-B8,0.083,0.115,0.125,0.183,0.26,0.227,0.149,0.164,0.171,0.155,0.184,0.158,0.223,0.262,0.199,0.176,0.093,0.097,0.109,0.151,0.185,0.288,0.287,0.497,0.28,0.416,0.382,0.477,0.486,0.449,0.381,0.36,0.275,0.315,0.281,0.273,0.206,0.261,0.243,0.308,0.274,0.338,0.407,0.557,0.56,0.365,0.374,0.225,0.261,0.296,0.288,0.297,0.358,0.443,0.487,0.424,0.437,0.555,0.676,0.641,0.677,0.639,0.464,0.77,0.9,0.908,1.129,0.904,1.036,1.064,1.261,1.213,1.2,1.71,1.82,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-B10,0.746,0.564,0.582,0.703,0.659,0.869,0.98,1.017,1.014,1.192,1.081,1.436,1.009,1.505,1.317,1.44,0.833,0.664,0.957,0.668,0.697,0.459,0.475,0.463,0.381,0.475,0.405,0.575,0.613,0.739,0.676,0.66,0.706,0.776,0.581,0.481,0.625,0.588,0.451,0.544,0.772,0.886,1.108,1.138,1.224,0.919,0.96,0.916,0.827,0.76,0.918,1.04,1.017,1.275,1.351,1.517,1.495,1.519,1.984,1.373,1.666,1.667,1.49,1.719,2.258,2.123,2.116,2.566,2.98,5.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-G11,1.92,2.407,2.251,1.891,2.567,1.923,2.587,2.399,2.98,2.505,1.85,2.126,1.978,1.456,1.322,1.266,1.225,0.951,1.077,0.844,1.012,0.909,1.357,1.406,1.466,1.839,2.216,3.195,2.45,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-H8,0.508,0.579,0.862,0.846,0.942,0.925,0.949,1.014,1.008,1.567,1.589,1.738,1.475,1.166,1.675,1.289,0.662,0.858,0.939,0.64,0.476,0.754,0.524,0.682,1.052,1.445,1.8,1.634,1.96,2.262,1.817,1.209,1.726,1.572,1.138,1.103,1.757,2.113,2.411,2.336,2.667,3.406,3.419,2.81,2.774,1.975,1.764,2.662,2.543,3.222,2.841,2.211,2.374,2.131,2.353,2.178,2.361,2.884,3.152,3.962,7.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-H10,1.85,2.049,3.115,2.732,2.082,2.24,2.462,2.381,2.483,3.096,2.251,2.442,1.967,2.293,2.264,2.023,2.045,1.981,1.784,1.795,1.862,1.926,1.287,1.289,1.3,1.533,1.77,2.442,2.298,2.54,2.415,3.017,4.022,2.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-M9,1.002,1.385,1.797,1.121,1.534,1.468,1.627,2.038,2.131,1.961,2.645,1.614,2.725,2.081,1.245,1.933,1.331,1.787,1.765,1.173,0.983,0.898,1.025,0.634,0.454,0.508,0.687,0.803,0.899,0.814,1.215,1.564,1.396,0.718,1.005,1.024,0.782,0.803,1.226,1.438,1.142,1.099,1.216,1.924,2.188,1.946,1.658,1.407,1.226,2.079,2.076,2.248,3,2.869,3.139,5.24,9.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-M17,0.758,0.722,0.66,0.701,0.693,0.766,0.983,0.998,1.082,0.869,0.846,1.174,1.061,0.936,0.852,0.819,0.834,1.015,0.957,0.975,0.927,0.654,0.661,0.629,0.594,0.72,0.645,0.83,0.888,0.813,0.817,0.843,0.857,0.779,0.632,0.683,0.665,0.687,0.764,0.669,0.759,0.706,0.731,0.72,0.728,0.587,0.581,0.599,0.71,0.662,0.626,0.814,0.626,0.913,0.654,0.61,0.547,0.518,0.597,0.565,0.557,0.615,0.592,0.649,0.73,0.682,0.74,0.773,0.776,0.68,0.567,0.64,0.767,0.884,1.09,1.085,1.083,1.171,0.825,0.875,1.117,0.879,0.883,1.181,1.129,1.185,1.322,1.335,1.481,1.279,1.249,1.065,1.145,0.95,1.41,1.855,1.331,1.203,2.041,1.972,2.351,1.849,0.123
SU-N6,2.096,1.486,2.01,1.437,1.439,1.182,1.639,1.191,1.93,1.635,1.367,1.623,0.714,1.231,1.547,1.458,0.474,0.654,0.599,0.999,1.148,1.221,1.711,1.922,1.633,0.927,1.21,1.039,0.73,0.634,1.329,1.214,1.087,0.938,1.151,1.551,1.834,1.374,1.278,0.951,0.991,2.247,1.813,2.069,2.258,1.911,2.175,2.132,2.518,2.344,2.31,2.802,2.363,2.498,2.332,2.014,2.266,1.902,2.422,2.518,2.133,2.312,3.824,2.535,4.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-N12,1.172,1.19,0.695,0.813,0.624,0.875,1.119,1.246,1.182,1.278,1.246,1.511,1.076,1.516,1.142,1.614,1.255,1.244,1.468,1.573,1.215,1.182,1.023,0.832,0.579,0.559,0.56,0.866,0.962,1.182,0.824,0.888,1.12,1.647,1.496,0.95,1.383,1.382,1.013,1.235,1.245,1.357,1.18,1.168,1.225,1.557,1.535,1.449,1.291,1.302,1.126,1.462,1.73,1.566,1.786,2.131,2.532,2.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-N14,1.054,1.175,1.275,1.358,1.701,1.26,0.958,1.222,1.219,1.177,1.13,1.429,1.185,1.332,1.378,1.826,1.62,1.399,1.205,1.15,1.693,0.869,1.078,1.055,1.065,1.043,0.995,1.158,1.249,1.078,0.909,0.961,0.983,0.897,0.867,0.867,0.887,0.971,0.939,0.992,0.888,0.834,0.792,0.752,0.698,0.603,0.803,0.792,0.962,1.057,0.962,1.067,1.192,1.758,1.649,2.086,3.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-N16,0.264,0.418,0.49,0.423,0.727,0.993,0.644,0.804,0.782,0.961,0.889,0.76,0.613,0.433,0.454,0.454,0.517,0.591,0.57,0.854,0.632,0.915,0.935,0.873,0.966,0.838,0.639,0.608,0.567,0.598,0.576,0.593,0.604,0.688,0.729,0.823,0.868,0.729,0.909,0.68,0.629,0.547,0.65,0.697,0.642,0.884,0.737,0.811,0.821,0.759,1.15,0.823,1.225,1.171,0.946,1.186,0.861,0.707,1.321,1.361,0.77,1.288,0.568,1.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-S5,Ring lost,Ring lost,1.302,0.607,0.858,1.01,1.309,1.329,1.55,1.162,1.5,0.92,0.954,0.957,0.662,0.893,0.699,0.826,0.674,0.566,0.434,0.733,0.765,0.774,0.746,0.77,1.295,1.304,0.827,0.899,0.822,0.953,0.76,0.833,0.68,0.934,0.998,1.241,1.076,1.37,1.773,2.03,1.542,1.342,1.42,1.581,1.394,1.324,1.733,1.59,1.516,1.346,1.438,1.581,2.184,1.93,2.184,2.469,1.647,2.64,2.408,2.559,2.486,2.595,2.064,2.161,2.956,2.781,3.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-S7,2.104,1.977,1.377,1.501,1.516,1.683,2.081,2.486,2.338,2.703,2.152,2.916,2.429,3.296,2.367,3.002,2.43,2.282,3.023,3.318,2.176,2.219,2.284,1.945,1.628,1.67,1.438,1.966,2.029,2.852,2.389,2.98,3.276,3.445,3.129,2.558,2.896,2.558,2.093,2.114,2.748,2.642,2.854,2.768,2.706,2.937,3.107,2.896,2.6,2.114,1.86,2.558,2.452,3.192,3.425,2.368,2.557,2.725,2.913,2.698,2.512,3.103,2.685,2.366,2.515,3.467,2.785,2.536,4.18,1.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-S11,1.035,0.769,0.432,0.638,0.724,0.881,0.863,1.095,0.828,0.846,0.838,1.162,0.983,1.159,1.032,1.421,0.953,1.143,1.159,1.381,0.962,0.924,1.004,1.029,0.789,0.653,0.844,0.862,0.647,0.784,0.854,0.699,0.828,0.896,0.759,0.679,0.905,0.952,0.634,0.999,0.915,0.94,1.05,1.043,1.06,0.672,1.026,1.208,1.045,0.869,1.004,1.265,1.104,1.239,1.26,1.556,1.544,1.498,1.803,1.56,1.762,2.246,2.369,2.442,2.601,2.268,2.427,1.648,1.506,1.547,1.303,1.066,2.978,1.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-T2,Ring lost,1.383,1.661,1.793,1.654,1.739,1.875,2.235,2.451,2.336,2.23,1.733,1.913,1.871,2.442,2.419,2.199,2.24,2.609,2.201,1.479,1.29,1.288,1.111,1.129,1.281,1.987,2.007,2.155,1.965,2.282,2.343,2.261,2.282,1.913,2.165,2.02,1.479,2.028,1.818,1.798,2.071,2.718,2.664,3.184,5.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-T4,0.4,0.345,0.356,0.334,0.499,0.73,0.935,0.968,1.293,1.443,1.787,1.585,1.708,1.239,1.258,0.961,0.709,0.56,0.506,0.572,0.812,0.789,0.539,0.488,0.549,0.328,0.581,0.56,0.793,0.887,0.878,0.961,1.089,1.098,0.877,1.12,1.183,0.839,0.873,1.068,1.184,1.223,1.364,1.704,1.886,1.853,1.866,1.783,1.599,1.465,1.616,1.886,2.119,2.226,2.384,2.376,2.28,1.425,0.468,1.297,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-T14,0.344,0.302,0.239,0.311,0.3,0.301,0.465,0.499,0.526,0.44,0.389,0.402,0.421,0.442,0.474,0.559,0.486,0.455,0.57,0.475,0.517,0.58,0.452,0.433,0.412,0.443,0.518,0.517,0.687,0.592,0.888,0.728,0.705,0.864,0.96,0.507,0.517,0.551,0.676,0.464,0.54,0.602,0.623,0.568,0.72,0.889,0.675,0.581,0.464,0.443,0.486,0.465,0.939,0.741,0.656,0.782,0.687,0.793,0.941,1.173,1.195,0.909,0.888,0.824,0.962,1.152,0.972,0.855,0.825,0.855,0.74,0.803,0.835,1.183,2.569,2.153,1.406,,,,,,,,,,,,,,,,,,,,,,,,,,
